invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
S22018800019,2014-10-27,4845,3rd St Convenience,"216, 3RD ST SE",CEDAR RAPIDS,52401,POINT (-91.666081 41.977896),57,Linn,1701100,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,874,The Glenlivet w/50ml 15YR & 18YR,6,850,20.99,32.24,2,64.48,1.7,0.45,2014
S21460900001,2014-09-29,4024,Wal-Mart 1546 / Iowa Falls,840 S OAK,IOWA FALLS,50126,POINT (-93.262446 42.503407),42,Hardin,1701100,DECANTERS & SPECIALTY PACKAGES,85,Brown-Forman Corporation,952,Jack Daniel's Black w/2 Glasses,6,750,14.53,21.8,18,392.4,13.5,3.57,2014
S21545900042,2014-10-01,3565,Hartig Drug Store #10,701 MORMON TREK BLVD,IOWA CITY,52246,POINT (-91.574025 41.651984),52,Johnson,1081400,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.75,5.63,4,22.52,4.0,1.06,2014
S21840500011,2014-10-20,3707,Target Store T-1768 / Cedar Rapids,1030 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.649625 42.035157),57,Linn,1701100,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,874,The Glenlivet w/50ml 15YR & 18YR,6,850,20.99,32.24,18,580.32,15.3,4.04,2014
S21856700018,2014-10-20,3549,Quicker Liquor Store,1414 48TH ST,FORT MADISON,52627,POINT (-91.373211 40.62422600000001),56,Lee,1701100,DECANTERS & SPECIALTY PACKAGES,421,"Sazerac Co., Inc.",76436,Old St. Nick''s Egg Nog,12,750,3.64,5.46,96,524.16,72.0,19.02,2014
S22668300068,2014-12-01,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1081400,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85,2014
S22411400061,2014-11-17,2448,Bottle Boutique,705 E. SECOND,INDIANOLA,50125,POINT (-93.55261600000001 41.358176),91,Warren,1701100,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,692,Crown Royal 1.75L w/50ml CR Maple & CR Black Tray Pack,6,1850,31.5,47.25,2,94.5,3.7,0.98,2014
S21782800003,2014-10-15,3632,Wal-Mart 2004 / Dubuque,4200 DODGE ST,DUBUQUE,52003,POINT (-90.736955 42.489041),31,Dubuque,1701100,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,789,Canadian Club w/Glass,6,750,7.88,11.82,18,212.76,13.5,3.57,2014
S17136800053,2014-01-30,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,POINT (-91.281344 42.108275),53,Jones,1081030,COFFEE LIQUEURS,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,4,50.36,4.0,1.06,2014
S21840900015,2014-10-22,3873,Target Store T-1113 / Coralville,1441 CORAL RIDGE AVE,CORALVILLE,52241,POINT (-91.608399 41.691276),52,Johnson,1701100,DECANTERS & SPECIALTY PACKAGES,259,Heaven Hill Brands,2229,Christian Brothers Holiday Nog,12,750,4.46,6.69,84,561.96,63.0,16.64,2014
S21759400035,2014-10-14,2553,Hy-Vee Food Store / Creston,600 SHELDON,CRESTON,50801,POINT (-94.372552 41.051462),88,Union,1701100,DECANTERS & SPECIALTY PACKAGES,421,"Sazerac Co., Inc.",76436,Old St. Nick''s Egg Nog,12,750,3.64,5.46,36,196.56,27.0,7.13,2014
S21485300033,2014-09-29,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT (-91.701581 42.030129),57,Linn,1701100,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,4109,Captain Morgan Original Spiced 1.75L w/CM White 200ml Tray Pack,6,1950,18.0,27.0,12,324.0,23.4,6.18,2014
S21474700027,2014-09-29,4307,Crossroads Wine and Liquor,117 IOWA AVE,DUNLAP,712-2,POINT (-95.602969 41.854728),43,Harrison,1701100,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,407,Jim Beam w/3-50mls,6,900,10.49,15.74,1,15.74,0.9,0.24,2014
S19163100002,2014-05-28,3789,Wal-Mart 1393 / Oskaloosa,2203 A AVENUE WEST,OSKALOOSA,52577,POINT (-92.669924 41.298516),62,Mahaska,1701100,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,780,Crown Royal 1.75L w/50ml CR Maple & CR Black,6,1850,31.5,47.25,18,850.5,33.3,8.8,2014
S17633700132,2014-02-27,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1081340,ROOT BEER SCHNAPPS,380,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,4,33.0,4.0,1.06,2014
S22163800089,2014-11-04,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,POINT (-92.106529 43.371131),45,Howard,1081365,TROPICAL FRUIT SCHNAPPS,421,"Sazerac Co., Inc.",83907,Maui Blue Hawaiian Schnapps,12,1000,4.54,6.81,4,27.24,4.0,1.06,2014
S21904500069,2014-10-21,3621,"Jensen Liquors, Ltd.",615  2ND AVE,SHELDON,51201,POINT (-95.854899 43.184242),71,O'Brien,1701100,DECANTERS & SPECIALTY PACKAGES,420,"Moet Hennessy USA, Inc.",561,Ardbeg 10YR Exploration Pack,6,850,25.98,38.97,1,38.97,0.85,0.22,2014
S22118500031,2014-11-03,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,POINT (-92.353103 42.456374),07,Black Hawk,1081400,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,144,522.72,144.0,38.04,2014
S19305100029,2014-06-02,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77,Polk,1701100,DECANTERS & SPECIALTY PACKAGES,420,"Moet Hennessy USA, Inc.",1014,Glenmorangie 10YR Discovery Pack w/3 50ml,6,900,21.99,32.99,6,197.94,5.4,1.43,2014
